gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000120948.19,21760,18685,26064,22621,22176,21178
ENSG00000009724.18,78,74,125,92,106,75
ENSG00000116649.10,7910,7352,10550,7834,7269,11118
ENSG00000171824.14,6120,5323,7578,6175,6632,6258
ENSG00000230337.3,10,9,8,7,11,8
ENSG00000198793.14,8959,7652,10633,8871,9546,8068
ENSG00000171819.5,10,4,11,5,13,7
ENSG00000238173.1,2,1,4,2,11,9
ENSG00000120942.14,2220,1956,2779,2398,2359,2357
ENSG00000238199.1,5,2,1,3,1,1
ENSG00000204624.8,219,181,226,129,108,204
ENSG00000284708.1,2,3,4,2,5,4
ENSG00000116661.11,1392,1257,1867,1599,1698,2010
ENSG00000132879.14,1227,1234,1679,1407,1478,1734
ENSG00000116670.16,4145,4103,5447,4133,4467,5623
ENSG00000116663.11,128,138,210,177,159,177
ENSG00000162490.7,851,756,936,871,853,971
ENSG00000177674.16,2575,2521,3337,2626,2691,3349
ENSG00000177000.13,1353,1242,1654,1370,1450,1200
ENSG00000011021.23,1184,917,1338,1127,1370,1062
ENSG00000175206.11,12,4,8,7,8,8
ENSG00000120937.9,3214,2463,3808,4238,4696,4411
ENSG00000224904.1,2,2,1,1,1,1
ENSG00000285646.2,53,31,73,63,42,65
ENSG00000116685.17,5087,4686,6424,5234,5680,6162
ENSG00000083444.17,14298,12796,18130,16205,15872,16421
ENSG00000116688.18,10117,8782,11923,10854,10857,10633
ENSG00000116691.11,1714,1645,2296,1675,1663,2077
ENSG00000202461.1,4,3,3,2,1,1
ENSG00000120949.15,20,21,23,15,22,19
ENSG00000028137.19,22,17,27,33,29,33
ENSG00000048707.15,3759,3140,4346,4197,4212,3034
ENSG00000162496.9,2716,2519,3489,3234,3029,3273
ENSG00000221340.1,1,1,2,1,1,1
ENSG00000288927.2,53,43,44,52,33,45
ENSG00000272482.2,10,9,14,7,4,5
ENSG00000157330.10,43,33,56,32,27,31
ENSG00000116726.5,5,8,6,5,11,6
ENSG00000116721.9,2,1,1,2,1,1
ENSG00000179172.10,8,10,15,10,13,21
ENSG00000179412.11,4,8,4,6,7,8
ENSG00000162494.6,126,88,133,74,69,96
ENSG00000162493.17,1390,1192,1633,615,757,1424
ENSG00000116731.23,4244,3601,4963,4685,4852,3971
ENSG00000189337.17,922,738,1205,840,937,1009
ENSG00000175147.13,68,48,86,63,91,48
ENSG00000171729.14,1301,1056,1568,1486,1609,1363
ENSG00000278480.1,4,2,1,1,4,2
ENSG00000142621.21,255,234,287,239,260,274
ENSG00000236045.1,6,3,7,4,7,7
ENSG00000228140.2,11,4,10,4,13,9
ENSG00000142634.13,1600,1524,2139,1571,1598,2004
ENSG00000215704.10,3,4,5,11,7,15
ENSG00000132906.18,1110,983,1407,1123,1216,1222
ENSG00000116138.13,2873,2186,3322,3133,3260,2637
ENSG00000116771.6,756,710,1010,830,751,813
ENSG00000237301.1,6,2,9,5,8,5
ENSG00000235084.3,11,11,9,10,11,20
ENSG00000197312.13,5857,4638,6623,6243,6689,4694
ENSG00000116786.13,5118,4721,6563,4835,5097,5797
ENSG00000237938.5,6,2,9,11,3,1
ENSG00000162461.8,18,5,24,10,20,18
ENSG00000162460.7,60,51,85,63,74,83
ENSG00000162458.13,9885,8750,12388,11407,11879,11611
ENSG00000224321.1,16,22,39,24,33,41
ENSG00000233954.7,914,798,1065,980,1168,1226
ENSG00000178715.8,49,49,58,49,75,83
ENSG00000179743.4,217,199,223,195,191,198
ENSG00000065526.13,9181,7941,10549,9815,9807,7958
ENSG00000116809.12,1915,1789,2649,1977,2042,2325
ENSG00000173641.18,54,15,37,67,99,61
ENSG00000186510.12,7,19,21,15,10,20
ENSG00000232456.1,9,7,13,4,5,10
ENSG00000184908.20,49,52,81,41,52,60
ENSG00000185519.9,98,66,99,55,62,129
ENSG00000142627.13,10758,9582,13499,15750,16673,15796
ENSG00000227959.2,19,18,14,16,27,23
ENSG00000224621.1,7,12,16,24,12,5
ENSG00000142632.17,1983,1882,2514,1579,1730,2110
ENSG00000291077.1,10,9,12,7,6,8
ENSG00000237276.10,2,4,5,2,5,4
ENSG00000288398.1,431,403,544,438,438,507
ENSG00000132881.12,366,297,415,316,323,367
ENSG00000037637.11,3014,2446,3493,3044,3363,2890
ENSG00000055070.17,11637,10150,14335,13027,13029,13673
ENSG00000226457.1,5,2,9,4,7,3
ENSG00000157191.20,4385,3989,5459,5347,5326,5260
ENSG00000226029.1,36,14,27,36,29,38
ENSG00000290842.1,59,41,61,70,46,47
ENSG00000080947.16,7,2,2,3,5,2
ENSG00000233421.5,46,40,60,44,52,41
ENSG00000219481.11,1335,1113,1555,1362,1465,1209
ENSG00000271732.1,1,2,1,1,3,2
ENSG00000291072.1,372,312,446,357,443,330
ENSG00000215908.12,92,61,106,75,108,66
ENSG00000186301.8,36,37,49,27,41,30
ENSG00000236698.1,74,57,76,66,53,78
ENSG00000058453.17,727,715,1061,579,662,823
ENSG00000290851.1,26,18,34,36,36,17
ENSG00000228549.5,189,124,224,146,152,192
ENSG00000238142.4,49,37,35,27,38,49
ENSG00000272426.1,1,1,4,3,4,1
ENSG00000117122.14,5060,4818,6750,4615,4753,6399
ENSG00000159363.19,5763,5442,7709,5745,5540,7342
ENSG00000117118.11,3415,2853,4132,3548,3809,3639
ENSG00000117115.13,21,15,36,19,28,26
ENSG00000142623.11,4,3,3,4,2,2
ENSG00000142619.4,11,10,4,2,4,5
ENSG00000179051.14,22853,18761,27035,24209,26186,22694
ENSG00000290096.1,4,4,6,6,7,5
ENSG00000074964.17,1824,1561,2272,2131,2407,2038
ENSG00000117148.8,26,43,40,39,42,42
ENSG00000117154.12,71,61,107,38,44,61
ENSG00000179023.9,103,98,134,152,180,141
ENSG00000159423.17,3041,3000,4168,2876,2577,3885
ENSG00000169991.11,3583,2932,4213,3364,3100,2884
ENSG00000272084.1,14,19,27,22,13,27
ENSG00000127481.15,12878,11030,15012,14666,15122,11397
ENSG00000230424.3,32,27,25,30,30,38
ENSG00000127463.16,11738,10242,14087,13615,13551,12369
ENSG00000053372.5,5587,5175,7039,5817,5761,6321
ENSG00000286064.1,64,41,63,65,64,62
ENSG00000211454.16,22,20,14,14,15,18
ENSG00000162482.5,27,20,35,17,20,34
ENSG00000270728.1,140,113,128,117,154,123
ENSG00000053371.13,3288,3217,4339,3181,3212,4233
ENSG00000040487.13,1794,1656,2507,1906,2027,2450
ENSG00000077549.19,22107,19232,27307,23696,22917,25053
ENSG00000173436.15,1509,1327,1801,1538,1538,1603
ENSG00000158747.15,1482,1253,1828,1237,1215,1805
ENSG00000226396.1,65,44,78,55,57,100
ENSG00000158748.4,28,28,20,23,19,20
ENSG00000162542.14,700,655,932,812,904,778
ENSG00000178828.7,8,2,7,7,10,14
ENSG00000169914.6,1887,1329,1955,1862,2226,1277
ENSG00000188257.12,15,7,17,20,21,17
ENSG00000187980.7,7,10,10,4,9,4
ENSG00000162543.6,797,705,961,687,710,738
ENSG00000158816.16,23,19,28,19,19,22
ENSG00000162545.6,4063,3187,4529,3341,3352,3842
ENSG00000289402.2,21,17,25,15,12,26
ENSG00000090432.7,2732,2535,3546,2970,2898,3249
ENSG00000183114.8,28,21,34,6,7,43
ENSG00000158825.6,5,8,3,6,8,4
ENSG00000158828.8,740,690,967,758,886,861
ENSG00000117242.7,666,652,860,827,822,801
ENSG00000244038.11,33900,29770,41094,40636,43068,40498
ENSG00000117245.13,95,116,134,57,43,88
ENSG00000189410.12,71,78,98,59,67,85
ENSG00000127483.19,9968,8243,11468,10461,11091,9267
ENSG00000075151.24,12144,9755,14004,12773,13837,10615
ENSG00000117298.16,10285,9444,12847,10511,10502,11381
ENSG00000231105.2,1,5,3,4,10,6
ENSG00000227001.3,45,52,50,45,64,50
ENSG00000187952.9,22,36,26,22,25,32
ENSG00000142794.19,573,494,744,607,660,566
ENSG00000162551.14,1114,876,1362,444,443,1061
ENSG00000076864.21,1337,1082,1639,988,1220,1409
ENSG00000090686.16,5180,4344,5912,5382,5441,4558
ENSG00000187942.12,23,17,27,20,23,17
ENSG00000142798.20,103028,99577,132743,138697,124719,130399
ENSG00000232037.3,1,1,1,2,1,2
ENSG00000219073.8,29,24,37,19,18,22
ENSG00000142789.20,37,38,29,30,22,29
ENSG00000228397.3,3,2,4,2,3,7
ENSG00000218510.9,70,68,77,86,87,85
ENSG00000285752.1,21,9,22,7,18,18
ENSG00000070831.18,257,219,322,313,310,256
ENSG00000162552.15,291,250,391,225,234,339
ENSG00000285873.1,11,11,16,7,6,7
ENSG00000184677.18,3555,2996,4104,3831,3980,2999
ENSG00000237200.1,3,5,4,2,4,3
ENSG00000070886.12,59,75,101,49,55,85
ENSG00000133216.17,11316,10256,14381,10198,10365,12186
ENSG00000004487.18,34588,30651,42299,34867,35409,35540
ENSG00000169641.15,10088,8555,11840,10555,9999,8834
ENSG00000179546.5,153,176,157,190,161,198
ENSG00000261326.5,87,70,87,101,111,83
ENSG00000284726.1,12,8,22,8,9,16
ENSG00000125944.22,23458,18974,27366,23542,23821,21387
ENSG00000125945.16,1723,1456,2059,1887,1775,1657
ENSG00000249087.9,135,102,199,126,191,143
ENSG00000204219.11,735,569,793,654,632,806
ENSG00000088280.21,6597,6192,8348,6128,5825,6966
ENSG00000007968.7,1097,865,1224,678,738,1076
ENSG00000235052.1,11,7,7,7,8,6
ENSG00000117318.9,6446,5948,8508,5217,5939,8890
ENSG00000142676.14,78942,63886,94033,73964,76689,81997
ENSG00000236810.8,62,48,84,46,62,39
ENSG00000011007.13,5007,4478,6326,5548,5362,5258
ENSG00000057757.10,3161,2661,3791,3286,3460,3302
ENSG00000011009.11,11975,11453,15154,13383,13390,16416
ENSG00000117308.15,2844,2614,3809,3318,3529,3687
ENSG00000117305.15,2252,1863,2737,2472,2692,2437
ENSG00000179163.12,2431,2082,2881,2863,2812,2363
ENSG00000229106.1,5,2,4,2,1,2
ENSG00000230228.2,1,4,1,2,3,4
ENSG00000189266.13,14664,12533,17366,16769,16190,13935
ENSG00000188529.15,11606,9547,13620,12345,11078,10610
ENSG00000225315.2,6,2,2,8,6,1
ENSG00000142661.19,7,19,13,14,16,15
ENSG00000142677.4,45,45,43,35,41,30
ENSG00000185436.12,1756,1527,1998,1922,2062,1720
ENSG00000158055.17,472,361,543,339,379,388
ENSG00000001460.18,1005,940,1244,1031,1131,1057
ENSG00000001461.17,2024,1679,2380,2186,2547,1870
ENSG00000286061.1,20,9,24,18,14,19
ENSG00000117602.13,6167,5972,7034,5900,5741,5264
ENSG00000264443.1,4,8,1,1,6,2
ENSG00000184454.7,160,145,185,148,188,151
ENSG00000133226.19,12075,9652,13339,10763,11362,10328
ENSG00000169504.15,25183,20828,29182,29122,25255,23773
ENSG00000020633.19,12,7,2,4,1,1
ENSG00000117614.10,3369,2874,3966,3755,3720,3315
ENSG00000284602.1,10,9,15,12,21,12
ENSG00000284657.1,4,4,4,4,4,5
ENSG00000117616.18,517,396,605,533,644,449
ENSG00000272432.1,8,8,6,3,7,10
ENSG00000261349.1,13,7,9,4,2,3
ENSG00000187010.21,6,5,5,9,7,5
ENSG00000224183.1,5,4,6,3,8,7
ENSG00000183726.11,9214,8029,10954,10938,10468,9994
ENSG00000188672.19,8,9,22,10,9,11
ENSG00000238084.4,6,6,8,8,8,11
ENSG00000204178.11,4033,3850,5148,4925,4396,4492
ENSG00000157978.12,1741,1532,2237,1686,1879,1836
ENSG00000225643.1,6,8,5,4,2,2
ENSG00000117643.16,634,546,779,628,748,647
ENSG00000233478.1,4,1,3,1,7,1
ENSG00000162430.18,20844,18440,26199,20349,21011,23308
ENSG00000228172.5,18,19,34,30,17,25
ENSG00000117640.18,2788,2476,3440,2951,2856,3074
ENSG00000127423.11,799,659,973,802,749,759
ENSG00000182749.6,1437,1210,1685,1390,1367,1526
ENSG00000117632.23,63182,55402,78816,61279,57700,69456
ENSG00000158006.14,1622,1317,1835,1767,1824,1505
ENSG00000158008.10,96,93,129,90,89,102
ENSG00000158014.15,80,74,122,53,54,101
ENSG00000158022.7,39,54,55,18,28,54
ENSG00000175087.10,1260,993,1408,1402,1246,1114
ENSG00000197245.6,12,14,14,11,5,17
ENSG00000282872.2,34,34,37,19,14,33
ENSG00000236782.8,29,26,25,18,33,22
ENSG00000142675.18,1067,910,1394,1085,1143,1193
ENSG00000293494.2,45,39,67,36,41,54
ENSG00000130695.16,3038,2429,3642,2533,2865,2622
ENSG00000142669.15,6355,5512,8038,6218,5732,7861
ENSG00000158062.21,933,872,1295,884,868,1132
ENSG00000169442.9,8,7,11,15,10,6
ENSG00000176092.17,2733,2588,3517,3895,3696,3276
ENSG00000131914.11,100316,90010,119989,117230,110637,110437
ENSG00000117682.18,2554,2348,3196,2576,2615,2744
ENSG00000225891.2,5,1,2,6,2,2
